block,label,outcome,pct,lo,hi,p,note
main,"Pedestrian KSI, unadjusted",ped_ksi,-25.76933617415135,-42.21466729698115,-4.643770412378567,0.019693451026164377,
main,+ red light camera control,ped_ksi,-26.660060133493722,-43.05992625718136,-5.536708576863569,0.01634686458660184,
main,+ cycling infrastructure control,ped_ksi,-25.738515386611372,-42.20525819020003,-4.580106696671116,0.01998949119800142,
main,+ both co-treatments,ped_ksi,-26.63049567761445,-43.05218661286224,-5.473382657948111,0.016600944205813928,
dose,1 approach treated,ped_ksi,-69.25665975749166,-93.05570264938504,36.10491048211435,0.12020908069570302,
dose,2 approaches treated,ped_ksi,-33.92575964508969,-52.11493219627547,-8.827418677292076,0.011649900923854206,
dose,3-4 approaches treated,ped_ksi,-14.659293281681208,-37.2944635892143,16.14662181455131,0.3134091690294514,
dose,per additional treated approach,ped_ksi,-5.410117376916757,-12.661667247782017,2.443516067936935,0.17169931464905952,
mechanism,Turning driver hits ped with ROW,ped_turn_row,-36.82624015684439,-55.10675700188812,-11.101901618278054,0.008408612250972336,
mechanism,Straight driver hits ped with ROW,ped_straight_row,-24.969433762820202,-67.54697648557062,73.46876377693373,0.5016948278115119,
falsification,Ped crossing WITHOUT right-of-way,ped_no_row,4.844745709316456,-36.88366275595634,74.16125812795951,0.85502094629092,
falsification,Ped on sidewalk or midblock,ped_offpath,-30.41000313388551,-73.30624513775724,81.41950013468222,0.4583283704723278,
severity,Fatal pedestrian collisions,ped_fatal,1.9648363710084382,-48.00157559491013,99.9450555495837,0.9548377227444202,
severity,Non-fatal pedestrian KSI,ped_nonfatal,-29.48286123550914,-46.13482452175116,-7.68308437910018,0.011032136221414302,
subgroup,"Pedestrian, age 65+",ped_older,-42.40503387704286,-61.043192466943516,-14.849795638674589,0.005677283081714668,
subgroup,"Pedestrian, school child",ped_child,-5.82870309380874,-54.53851872793698,95.07136399542992,0.8715969428871115,
subgroup,Cyclist KSI,cyc_ksi,-29.999251970160568,-58.914220857444576,19.2652257545163,0.18953863518364367,
placebo,Vehicle-occupant KSI,veh_only,2.104257145410049,-24.65152528538046,38.36085424026832,0.8931506280415435,
robust,"Stacked DiD, not-yet-treated controls",ped_ksi,-23.588334523610687,-45.44701252802184,7.028833643157872,0.11760984322706713,
robust,Empirical Bayes before-after,ped_ksi,-11.19891686182546,-26.519019918569995,4.12118619491908,,1120 sites
equity,Effect outside NIAs,ped_ksi,-22.97089775639679,-41.193124538352556,0.8977699610169809,0.0580789937618833,
equity,Extra effect inside NIAs,ped_ksi,-18.470018682208668,-50.10244255454399,33.215696198065814,0.4149944881656906,
robust,Snap radius 20 m,ped_ksi,-24.137020029180512,-41.05642793782195,-2.3609949532417907,0.03190658164097093,
robust,Snap radius 30 m,ped_ksi,-25.76933617415135,-42.21466729698115,-4.643770412378567,0.019693451026164377,
robust,Snap radius 50 m,ped_ksi,-27.208838897630304,-43.285148129195285,-6.575562487562603,0.012624186752074662,
robust,Snap radius 100 m,ped_ksi,-27.30198920859398,-43.18013106165781,-6.986748266484389,0.011210491622165142,
